time,requests
0,707606
1,743746
2,666003
3,691542
4,695965
5,676168
6,662100
7,675910
8,682853
9,675736
10,691473
11,734631
12,730860
13,744355
14,757994
15,765440
16,753090
17,659849
18,608979
19,597493
20,538583
21,289189
22,212732
23,37703
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,582699
56,779254
57,795805
58,794434
59,797940
60,787894
61,784299
62,788685
63,748957
64,786487
65,792907
66,734537
67,766517
68,769597
69,712704
70,662384
71,502662
72,438215
73,357863
74,365877
75,371497
76,292072
77,255411
78,213207
79,118096
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,578778
113,787859
114,779298
115,797308
116,757257
117,780972
118,778209
119,789119
120,793092
121,778939
122,785576
123,783737
124,788637
125,776618
126,733495
127,722514
128,715781
129,729583
130,603807
131,456257
132,243763
133,39401
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,180445
166,788947
167,793671
168,753388
169,762034
170,789403
171,774194
172,793952
173,691289
174,782645
175,754508
176,777777
177,787188
178,776666
179,779421
180,770064
181,712020
182,644660
183,591314
184,471924
185,277445
186,236742
187,126604
188,125044
189,58655
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,262774
222,775757
223,730698
224,779299
225,770316
226,777065
227,786374
228,756800
229,765048
230,781862
231,703125
232,783536
233,759586
234,783367
235,784062
236,759458
237,718574
238,596913
239,463178
240,362822
241,277982
242,246574
243,245876
244,156198
245,126017
246,46739
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,517407
279,798010
280,795361
281,792454
282,795306
283,789590
284,775527
285,786149
286,792519
287,787853
288,785801
289,754211
290,776924
291,753996
292,730865
293,753078
294,723085
295,581487
296,487088
297,324292
298,181585
299,120282
300,121471
301,121459
302,126159
303,28041
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,769604
336,797609
337,797848
338,759706
339,600082
340,195639
341,79512
Makespan
342029664017
Repartition at: 
Checkpoint times raw:
1,0,1670635898965485773,1670635930483154505,31517668732,320000040,0,8000001
2,0,1670635955583168997,1670635987499044603,31915875606,320000040,0,8000001
3,0,1670636008953351478,1670636041001998319,32048646841,320000040,0,8000001
4,0,1670636065126165268,1670636096899804289,31773639021,320000040,0,8000001
5,0,1670636122035852067,1670636153603418616,31567566549,320000040,0,8000001
6,0,1670636178901223735,1670636210289591449,31388367714,320000040,0,8000001
Checkpoint times:
partition,avg-elapsed-time
0,31701960743

Checkpoint sizes:
partition,avg-size
0,31755294083

Crossborder requests executed:
num_partitions,num_requests
1,94000000
2,0
3,0
4,0
5,0
6,0
7,0
Requests per thread executed:
thread,num_requests
0,9966661
1,10946219
2,15080778
3,14548103
4,10303740
5,12077058
6,10586917
7,10490524
Checkpoint turns:
