time,requests
0,681318
1,652904
2,631899
3,600174
4,584625
5,593267
6,640506
7,609390
8,657806
9,707289
10,719227
11,705234
12,719458
13,638786
14,626329
15,639356
16,639227
17,682545
18,721567
19,552324
20,464927
21,283648
22,274555
23,246501
24,194444
25,165486
26,173075
27,114607
28,79526
29,0
30,0
31,0
32,24543
33,537752
34,669733
35,719623
36,719967
37,715798
38,729416
39,718961
40,725200
41,714269
42,701056
43,728446
44,737296
45,737969
46,741355
47,719902
48,719957
49,680068
50,595979
51,510029
52,417617
53,438754
54,407069
55,318433
56,162217
57,108591
58,0
59,0
60,0
61,0
62,624352
63,727338
64,737344
65,564792
66,708507
67,696689
68,686745
69,727274
70,730397
71,728618
72,727681
73,715729
74,732947
75,729958
76,669801
77,684898
78,712852
79,667206
80,663590
81,531090
82,656878
83,369610
84,161428
85,44276
86,0
87,0
88,0
89,342179
90,716030
91,721569
92,722579
93,714340
94,708193
95,685974
96,616558
97,578592
98,674084
99,657853
100,728317
101,775546
102,764333
103,775416
104,772818
105,782759
106,769474
107,791586
108,658584
109,406605
110,295588
111,241324
112,99699
113,0
114,0
115,0
116,0
117,103936
118,790840
119,785647
120,765353
121,794426
122,770183
123,766715
124,788377
125,779423
126,788023
127,783128
128,773172
129,787776
130,788712
131,759002
132,776726
133,758638
134,708505
135,523418
136,389349
137,332659
138,302979
139,183013
140,0
141,0
142,0
143,0
144,0
145,631689
146,787490
147,771821
148,793465
149,795212
150,791938
151,748134
152,791619
153,776784
154,794201
155,788791
156,787732
157,774309
158,788389
159,791162
160,712956
161,567059
162,554217
163,557539
164,354438
165,319175
166,228302
167,93578
168,0
169,0
170,0
171,0
172,551501
173,796795
174,787625
175,796837
176,621977
177,445265
Makespan
178012582244
Repartition at: 13399549148 29182191803 44422226610 60492398624 76774649821 91908258542 
Checkpoint times raw:
1,0,1670636352082446591,1670636357286028691,5203582100,40000040,0,1000001
2,0,1670636387736590869,1670636393622641767,5886050898,53212520,0,1330313
3,0,1670636415056613618,1670636420955487684,5898874066,57226400,0,1430660
4,0,1670636443227793804,1670636449371117196,6143323392,56611640,0,1415291
5,0,1670636471227600689,1670636475620919370,4393318681,43636600,0,1090915
6,0,1670636492538493191,1670636499706076827,7167583636,53276920,0,1331923
1,1,1670636352701578315,1670636358259276592,5557698277,40000000,0,1000000
2,1,1670636387148025331,1670636392114724448,4966699117,43512840,0,1087821
3,1,1670636414641649497,1670636420564993867,5923344370,44315600,0,1107890
4,1,1670636439659506524,1670636445699443775,6039937251,51076960,0,1276924
5,1,1670636471648314503,1670636476674565306,5026250803,50089280,0,1252232
6,1,1670636492673644155,1670636499139779542,6466135387,48715000,0,1217875
1,2,1670636360332585457,1670636364493189519,4160604062,40000000,0,1000000
2,2,1670636383192714777,1670636389452683545,6259968768,46515280,0,1162882
3,2,1670636415027092377,1670636420916081608,5888989231,47629800,0,1190745
4,2,1670636441285208119,1670636445882163449,4596955330,40160880,0,1004022
5,2,1670636468479711903,1670636473358998620,4879286717,42817280,0,1070432
6,2,1670636497887168583,1670636502603612490,4716443907,47712040,0,1192801
1,3,1670636358150645770,1670636362355290942,4204645172,40000000,0,1000000
2,3,1670636385434150429,1670636389803785602,4369635173,33444440,0,836111
3,3,1670636417007453761,1670636421020949276,4013495515,31696520,0,792413
4,3,1670636444483226993,1670636447484850247,3001623254,29274080,0,731852
5,3,1670636465547320458,1670636469827350175,4280029717,32464240,0,811606
6,3,1670636493454442300,1670636497909583894,4455141594,30343200,0,758580
1,4,1670636351120485808,1670636356593574768,5473088960,40000000,0,1000000
2,4,1670636382733821093,1670636388936539182,6202718089,46577880,0,1164447
3,4,1670636416168509179,1670636420833318395,4664809216,42000280,0,1050007
4,4,1670636440768328704,1670636446705864338,5937535634,48451520,0,1211288
5,4,1670636466940071126,1670636472506939678,5566868552,45096200,0,1127405
6,4,1670636499425858968,1670636503825203841,4399344873,44832640,0,1120816
1,5,1670636356077436287,1670636360228457669,4151021382,40000000,0,1000000
2,5,1670636389532064335,1670636392234658409,2702594074,26529880,0,663247
3,5,1670636415829962404,1670636419292948388,3462985984,24784520,0,619613
4,5,1670636443650496894,1670636446951306402,3300809508,27806640,0,695166
5,5,1670636470182210283,1670636473954089732,3771879449,34244240,0,856106
6,5,1670636498507705584,1670636502090282265,3582576681,35986360,0,899659
1,6,1670636352594994582,1670636357522164805,4927170223,40000000,0,1000000
2,6,1670636383403258108,1670636389157163428,5753905320,40407560,0,1010189
3,6,1670636415160967244,1670636420301239562,5140272318,38644160,0,966104
4,6,1670636440369983034,1670636444377102031,4007118997,35030560,0,875764
5,6,1670636466989550563,1670636472200805564,5211255001,38829440,0,970736
6,6,1670636495696056128,1670636498558808850,2862752722,27813360,0,695334
1,7,1670636351771835849,1670636356970110830,5198274981,40000000,0,1000000
2,7,1670636388199017730,1670636391322803229,3123785499,29799640,0,744991
3,7,1670636414312507233,1670636418759821837,4447314604,33702760,0,842569
4,7,1670636441015080843,1670636445195278036,4180197193,31587760,0,789694
5,7,1670636467253177931,1670636471231892873,3978714942,32822760,0,820569
6,7,1670636495976761095,1670636499113407781,3136646686,31320520,0,783013
Checkpoint times:
partition,avg-elapsed-time
7,4010822317
6,4650412430
5,3495311179
4,5374060887
3,4054095070
2,5083708002
1,5663344200
0,5782122128

Checkpoint sizes:
partition,avg-size
7,4016042404
6,4655047990
5,3501308906
4,5381532994
3,4059152270
2,5091660009
1,5671463367
0,5791001615

Crossborder requests executed:
num_partitions,num_requests
1,94000000
2,0
3,0
4,0
5,0
6,0
7,0
Requests per thread executed:
thread,num_requests
0,11232428
1,11382945
2,12043582
3,12491562
4,11277276
5,12349511
6,11501145
7,11721551
Checkpoint turns:
