time,requests
0,1377701
1,1428259
2,1467063
3,1468108
4,1470657
5,1448366
6,1469340
7,1465888
8,1437018
9,1479175
10,1471306
11,1460007
12,1452991
13,1387205
14,1422336
15,1469694
16,1471039
17,1463395
18,1324370
19,1233993
20,1137731
21,1009071
22,687982
23,407097
24,90208
25,0
26,0
27,0
28,0
29,0
30,869253
31,1523622
32,1534862
33,1521882
34,1510861
35,1536277
36,1542228
37,1517484
38,1534986
39,1558318
40,1566768
41,1563709
42,1564398
43,1565067
44,1559642
45,1565827
46,1553946
47,1508394
48,809371
49,785858
50,767615
51,766378
52,782019
53,563780
54,427455
55,0
56,0
57,0
58,0
59,133495
60,1573084
61,1572364
62,1570598
63,1556419
64,1560061
65,1568024
66,1569007
67,1570033
68,1563500
69,1571278
70,1562514
71,1562671
72,1565988
73,1562893
74,1519745
75,1549912
76,1535282
77,1132909
78,1071934
79,1092470
80,685685
81,318514
82,393757
83,465368
84,172495
85,0
86,0
87,0
88,0
89,847789
90,1551730
91,1543919
92,1548524
93,1535939
94,1536061
95,1560788
96,1501175
97,1072144
98,933250
99,368681
Makespan
100006856450
Repartition at: 
Checkpoint times raw:
1,0,1670639224660768926,1670639230595202863,5934433937,50000040,0,1250001
2,0,1670639248425764478,1670639253680165102,5254400624,50000040,0,1250001
3,0,1670639281362437317,1670639286338931041,4976493724,50000040,0,1250001
1,1,1670639220915780163,1670639225885362587,4969582424,50000000,0,1250000
2,1,1670639253736359366,1670639258657121436,4920762070,50000000,0,1250000
3,1,1670639281345032197,1670639286613096628,5268064431,50000000,0,1250000
1,2,1670639224614742804,1670639229566104020,4951361216,50000000,0,1250000
2,2,1670639255274460445,1670639260138856649,4864396204,50000000,0,1250000
3,2,1670639277498182780,1670639282611428315,5113245535,50000000,0,1250000
1,3,1670639222759211106,1670639227898929823,5139718717,50000000,0,1250000
2,3,1670639248127174184,1670639254614874015,6487699831,50000000,0,1250000
3,3,1670639277435926359,1670639282465559333,5029632974,50000000,0,1250000
1,4,1670639222867677516,1670639228313043295,5445365779,50000000,0,1250000
2,4,1670639255248618972,1670639260128695810,4880076838,50000000,0,1250000
3,4,1670639280487115558,1670639285805094552,5317978994,50000000,0,1250000
1,5,1670639222388498756,1670639228160544573,5772045817,50000000,0,1250000
2,5,1670639253670176653,1670639258606871550,4936694897,50000000,0,1250000
3,5,1670639280496657186,1670639285512003020,5015345834,50000000,0,1250000
1,6,1670639223537726882,1670639229639995569,6102268687,50000000,0,1250000
2,6,1670639248528659172,1670639253565010529,5036351357,50000000,0,1250000
3,6,1670639284778458875,1670639289677724632,4899265757,50000000,0,1250000
1,7,1670639218776045509,1670639224022689850,5246644341,50000000,0,1250000
2,7,1670639248352854899,1670639254837454641,6484599742,50000000,0,1250000
3,7,1670639284650304587,1670639289516526715,4866222128,50000000,0,1250000
Checkpoint times:
partition,avg-elapsed-time
7,5532488737
6,5345961933
5,5241362182
4,5214473870
3,5552350507
2,4976334318
1,5052802975
0,5388442761

Checkpoint sizes:
partition,avg-size
7,5549155403
6,5362628600
5,5258028849
4,5231140537
3,5569017174
2,4993000985
1,5069469641
0,5405109441

Crossborder requests executed:
num_partitions,num_requests
1,110000000
2,0
3,0
4,0
5,0
6,0
7,0
Requests per thread executed:
thread,num_requests
0,13745995
1,13752077
2,13749251
3,13753438
4,13748552
5,13757208
6,13752244
7,13741235
Checkpoint turns:
