time,requests
0,1355221
1,1352319
2,1343310
3,1337028
4,1398717
5,1429932
6,1412069
7,1397561
8,1418951
9,1419323
10,1419374
11,1416401
12,1412854
13,1414203
14,1418944
15,1414258
16,1422868
17,1402339
18,1430367
19,1259487
20,1178551
21,1060129
22,992530
23,500268
24,282453
25,110543
26,0
27,0
28,0
29,0
30,228047
31,1402069
32,1413370
33,1420227
34,1426606
35,1400131
36,1410605
37,1421660
38,1422907
39,1405732
40,1409068
41,1397204
42,1362797
43,1381825
44,1337919
45,1346975
46,1325798
47,1332285
48,1176939
49,833319
50,971883
51,992597
52,691683
53,687743
54,692790
55,633251
56,340670
57,337573
58,226021
59,212493
60,227639
61,130174
62,0
63,0
64,0
65,0
66,0
67,0
68,1008926
69,1321788
70,1211935
71,1345455
72,1077321
73,1266363
74,1386561
75,1433348
76,1366533
77,1350230
78,1350873
79,1409574
80,1387871
81,1429386
82,1554791
83,1572069
84,1447176
85,1332311
86,1320487
87,1336282
88,1333891
89,1197310
90,993228
91,282760
92,220782
93,194334
94,230061
95,229961
96,238004
97,170389
98,0
99,0
100,0
101,0
102,177777
103,1569859
104,1530417
105,1548570
106,1567591
107,1567199
108,1560910
109,1534371
110,1429483
111,993813
112,288406
113,231604
Makespan
114008204636
Repartition at: 17278727542 43446991514 66998311526 
Checkpoint times raw:
1,0,1670638647391495571,1670638652518110623,5126615052,50000040,0,1250001
2,0,1670638686075132176,1670638692356826922,6281694746,63387360,0,1584684
3,0,1670638722031757859,1670638727052230127,5020472268,52592800,0,1314820
1,1,1670638649913283196,1670638655026471953,5113188757,50000000,0,1250000
2,1,1670638679999901524,1670638685408562658,5408661134,51705280,0,1292632
3,1,1670638715719125733,1670638721269501447,5550375714,50077800,0,1251945
1,2,1670638648079213623,1670638654074944765,5995731142,50000000,0,1250000
2,2,1670638680436207964,1670638685715480509,5279272545,51802280,0,1295057
3,2,1670638715043442110,1670638720295036850,5251594740,50249760,0,1256244
1,3,1670638647800472225,1670638654435764346,6635292121,50000000,0,1250000
2,3,1670638675914951967,1670638680620531940,4705579973,45942400,0,1148560
3,3,1670638714997963166,1670638720011503143,5013539977,49174880,0,1229372
1,4,1670638649450601531,1670638654853915448,5403313917,50000000,0,1250000
2,4,1670638681898401615,1670638687171727671,5273326056,52065440,0,1301636
3,4,1670638713372655029,1670638719298922852,5926267823,50219360,0,1255484
1,5,1670638645116892715,1670638651318171559,6201278844,50000000,0,1250000
2,5,1670638672428409508,1670638678773454084,6345044576,46153920,0,1153848
3,5,1670638714896980586,1670638720349546888,5452566302,49285600,0,1232140
1,6,1670638647139501449,1670638653887480360,6747978911,50000000,0,1250000
2,6,1670638676339555081,1670638682099350404,5759795323,46005440,0,1150136
3,6,1670638715320778864,1670638721022803143,5702024279,49284960,0,1232124
1,7,1670638643610033392,1670638648711702940,5101669548,50000000,0,1250000
2,7,1670638673024687633,1670638678811716999,5787029366,42937920,0,1073448
3,7,1670638708874082987,1670638713717577279,4843494292,49114880,0,1227872
Checkpoint times:
partition,avg-elapsed-time
7,5244064402
6,6069932837
5,5999629907
4,5534302598
3,5451470690
2,5508866142
1,5357408535
0,5476260688

Checkpoint sizes:
partition,avg-size
7,5260436028
6,6086361157
5,6016058440
4,5551042385
3,5467862317
2,5525616062
1,5374101135
0,5493791622

Crossborder requests executed:
num_partitions,num_requests
1,110000000
2,0
3,0
4,0
5,0
6,0
7,0
Requests per thread executed:
thread,num_requests
0,17402876
1,14387857
2,14460414
3,12607001
4,14475143
5,12642484
6,12622864
7,11401361
Checkpoint turns:
