time,requests
0,36271
1,37238
2,37472
3,34224
4,35876
5,39321
6,41026
7,39880
8,38846
9,38708
10,40068
11,40703
12,37599
13,39278
14,39078
15,40859
16,40374
17,39592
18,41303
19,41212
20,40587
21,20485
22,0
23,37941
24,41167
25,41798
26,41632
27,41518
28,41338
29,41617
30,41325
31,41632
32,40527
33,41380
34,41672
35,41500
36,40762
37,41618
38,41715
39,41247
40,40966
41,41508
42,41510
43,15627
44,1517
45,41479
46,41554
47,41478
48,41436
49,41370
50,41433
51,41614
52,41228
53,41637
54,41662
55,41575
56,41630
57,41622
58,41644
59,41332
60,41272
61,41183
62,41206
63,41454
64,41521
65,9153
66,9237
67,41377
68,41120
69,41136
70,41476
71,41485
72,41607
73,41306
74,41487
75,41814
76,41841
77,41136
78,40759
79,41301
80,41175
81,41427
82,41412
83,41082
84,40996
85,41276
86,41685
87,3865
88,4884
89,40965
90,41858
91,41284
92,41732
93,41797
94,42022
95,41301
96,41174
97,41639
98,41873
99,41125
100,41013
101,41383
102,41530
103,41481
104,41230
105,40688
106,41485
107,41177
108,41514
109,6845
110,9314
111,41347
112,41544
113,41576
114,40992
115,41356
116,41868
117,41365
118,41469
119,41489
120,41181
121,41342
122,41292
123,41278
124,41721
125,41481
126,41836
127,41490
128,41009
129,39169
130,41404
131,4477
132,13252
133,40924
134,41733
135,41373
136,41110
137,41641
138,41086
139,40964
140,41419
141,41517
142,40560
143,41075
144,41421
145,41131
146,38482
147,39727
148,41524
149,41173
150,41164
151,40285
152,39832
153,8607
154,9468
155,41169
156,40745
157,28618
Makespan
158009714992
Repartition at: 
Checkpoint times raw:
1,0,1670637331738649337,1670637333232024014,1493374677,11600040,0,290001
2,0,1670637353609035241,1670637355109568270,1500533029,11600040,0,290001
3,0,1670637375450013372,1670637376923337542,1473324170,11600040,0,290001
4,0,1670637397319534696,1670637398813452379,1493917683,11600040,0,290001
5,0,1670637419391370323,1670637420906643631,1515273308,11600040,0,290001
6,0,1670637441338387200,1670637442816494075,1478106875,11600040,0,290001
7,0,1670637463446536950,1670637464930302248,1483765298,11600040,0,290001
1,1,1670637331732616227,1670637333114326749,1381710522,11600000,0,290000
2,1,1670637353607227402,1670637355106899268,1499671866,11600000,0,290000
3,1,1670637375445618223,1670637376571289170,1125670947,11600000,0,290000
4,1,1670637397320563857,1670637398845212272,1524648415,11600000,0,290000
5,1,1670637419392468671,1670637420896748106,1504279435,11600000,0,290000
6,1,1670637441335969428,1670637442842971533,1507002105,11600000,0,290000
7,1,1670637463442303395,1670637464574567238,1132263843,11600000,0,290000
1,2,1670637331730428254,1670637332870342371,1139914117,11600000,0,290000
2,2,1670637353607943939,1670637354782602452,1174658513,11600000,0,290000
3,2,1670637375450861713,1670637376933487663,1482625950,11600000,0,290000
4,2,1670637397317143290,1670637399041532771,1724389481,11600000,0,290000
5,2,1670637419381698799,1670637420535353333,1153654534,11600000,0,290000
6,2,1670637441337509519,1670637442808408163,1470898644,11600000,0,290000
7,2,1670637463440553084,1670637464931459032,1490905948,11600000,0,290000
1,3,1670637331737391632,1670637333144384503,1406992871,11600000,0,290000
2,3,1670637353605027376,1670637354754270513,1149243137,11600000,0,290000
3,3,1670637375446046456,1670637376915423604,1469377148,11600000,0,290000
4,3,1670637397310449412,1670637398448711160,1138261748,11600000,0,290000
5,3,1670637419389414918,1670637420934232941,1544818023,11600000,0,290000
6,3,1670637441337324416,1670637442808408209,1471083793,11600000,0,290000
7,3,1670637463439926871,1670637464590921269,1150994398,11600000,0,290000
1,4,1670637331738519551,1670637333242790927,1504271376,11600000,0,290000
2,4,1670637353609654710,1670637355113367978,1503713268,11600000,0,290000
3,4,1670637375450771750,1670637376935127332,1484355582,11600000,0,290000
4,4,1670637397312061251,1670637398448834514,1136773263,11600000,0,290000
5,4,1670637419388566215,1670637420535273858,1146707643,11600000,0,290000
6,4,1670637441340651015,1670637442511863238,1171212223,11600000,0,290000
7,4,1670637463444919326,1670637464590921281,1146001955,11600000,0,290000
1,5,1670637331732962649,1670637333229876834,1496914185,11600000,0,290000
2,5,1670637353607037624,1670637355120511657,1513474033,11600000,0,290000
3,5,1670637375449146694,1670637376595906741,1146760047,11600000,0,290000
4,5,1670637397319116459,1670637398846484179,1527367720,11600000,0,290000
5,5,1670637419391150710,1670637420537434409,1146283699,11600000,0,290000
6,5,1670637441338507088,1670637442488527416,1150020328,11600000,0,290000
7,5,1670637463441654420,1670637464576722610,1135068190,11600000,0,290000
1,6,1670637331737154002,1670637333021459919,1284305917,11600000,0,290000
2,6,1670637353605152496,1670637354751146836,1145994340,11600000,0,290000
3,6,1670637375445111724,1670637376597100909,1151989185,11600000,0,290000
4,6,1670637397320621321,1670637398448710980,1128089659,11600000,0,290000
5,6,1670637419389504757,1670637420934379440,1544874683,11600000,0,290000
6,6,1670637441336161409,1670637442464053327,1127891918,11600000,0,290000
7,6,1670637463445653753,1670637464916855141,1471201388,11600000,0,290000
1,7,1670637331731115020,1670637332866309500,1135194480,11600000,0,290000
2,7,1670637353607776899,1670637354782645973,1174869074,11600000,0,290000
3,7,1670637375445121714,1670637376572431521,1127309807,11600000,0,290000
4,7,1670637397315556392,1670637398467096983,1151540591,11600000,0,290000
5,7,1670637419386895921,1670637420538252835,1151356914,11600000,0,290000
6,7,1670637441330016707,1670637442464053367,1134036660,11600000,0,290000
7,7,1670637463445205826,1670637464930301157,1485095331,11600000,0,290000
Checkpoint times:
partition,avg-elapsed-time
7,1194200408
6,1264906727
5,1302269743
4,1299005044
3,1332967302
2,1376721026
1,1382178161
0,1491185005

Checkpoint sizes:
partition,avg-size
7,1195857551
6,1266563870
5,1303926886
4,1300662187
3,1334624445
2,1378378169
1,1383835304
0,1492842154

Crossborder requests executed:
num_partitions,num_requests
1,1012715
2,712170
3,711429
4,714416
5,710460
6,712990
7,712792
Requests per thread executed:
thread,num_requests
0,697722
1,746762
2,704165
3,667643
4,1024070
5,698413
6,813533
7,647692
Checkpoint turns:
