time,0-ckp,1-ckp,8-ckp,8-ckp-metis
0,700806,707606,696764,681318
1,732034,743746,697735,652904
2,741533,666003,746963,631899
3,704080,691542,757002,600174
4,729109,695965,759961,584625
5,735452,676168,739864,593267
6,742778,662100,692558,640506
7,762697,675910,698053,609390
8,739561,682853,699528,657806
9,754027,675736,699070,707289
10,761034,691473,698531,719227
11,707801,734631,698953,705234
12,661388,730860,698935,719458
13,737502,744355,700485,638786
14,756023,757994,698625,626329
15,766447,765440,737144,639356
16,770227,753090,759759,639227
17,771818,659849,739084,682545
18,756070,608979,655880,721567
19,738604,597493,475912,552324
20,735469,538583,286498,464927
21,719687,289189,138561,283648
22,702189,212732,78909,274555
23,700762,37703,99509,246501
24,705414,0,117791,194444
25,705971,0,119165,165486
26,707946,0,108761,173075
27,702795,0,0,114607
28,704902,0,0,79526
29,700788,0,0,0
30,716629,0,0,0
31,803040,0,705482,0
32,795038,0,749011,24543
33,801585,0,778610,537752
34,797089,0,782175,669733
35,794893,0,757177,719623
36,792750,0,785017,719967
37,793122,0,789145,715798
38,794754,0,795441,729416
39,799749,0,784386,718961
40,800064,0,774305,725200
41,800422,0,769029,714269
42,803069,0,748998,701056
43,806257,0,779372,728446
44,765906,0,723642,737296
45,740359,0,511938,737969
46,804883,0,422020,741355
47,801849,0,420420,719902
48,793022,0,447151,719957
49,792810,0,597202,680068
50,779977,0,585594,595979
51,736790,0,490938,510029
52,791420,0,248794,417617
53,803164,0,211955,438754
54,806273,0,118936,407069
55,804789,582699,118302,318433
56,804865,779254,104960,162217
57,805758,795805,0,108591
58,805502,794434,0,0
59,786833,797940,0,0
60,767729,787894,52847,0
61,800948,784299,778797,0
62,802269,788685,775114,624352
63,797518,748957,774731,727338
64,791975,786487,739646,737344
65,800221,792907,759968,564792
66,800367,734537,766414,708507
67,798243,766517,732674,696689
68,749951,769597,697690,686745
69,727968,712704,771656,727274
70,799423,662384,787965,730397
71,776634,502662,786364,728618
72,768739,438215,788562,727681
73,795424,357863,791941,715729
74,794550,365877,787586,732947
75,790101,371497,783393,729958
76,783889,292072,689362,669801
77,791488,255411,632084,684898
78,793601,213207,530986,712852
79,797716,118096,530118,667206
80,798029,0,352482,663590
81,797509,0,340663,531090
82,799729,0,282652,656878
83,791892,0,66305,369610
84,799202,0,0,161428
85,767851,0,0,44276
86,770381,0,0,0
87,735665,0,259709,0
88,777112,0,784267,0
89,788708,0,783727,342179
90,793586,0,784955,716030
91,790050,0,786572,721569
92,796055,0,775886,722579
93,797925,0,771545,714340
94,795102,0,784095,708193
95,799547,0,742344,685974
96,780743,0,758348,616558
97,778894,0,783328,578592
98,766219,0,793251,674084
99,798701,0,770743,657853
100,800175,0,689019,728317
101,796059,0,638406,775546
102,786424,0,530785,764333
103,761834,0,549168,775416
104,746320,0,561984,772818
105,742611,0,464232,782759
106,727773,0,492108,769474
107,670955,0,484658,791586
108,515884,0,406079,658584
109,448099,0,170047,406605
110,368085,0,122100,295588
111,352079,0,114397,241324
112,371825,578778,121703,99699
113,356537,787859,76544,0
114,346271,779298,0,0
115,375671,797308,0,0
116,374612,757257,0,0
117,358420,780972,250295,103936
118,363149,778209,786952,790840
119,363595,789119,779193,785647
120,366114,793092,782081,765353
121,367569,778939,786041,794426
122,349298,785576,774545,770183
123,346126,783737,744768,766715
124,352050,788637,786543,788377
125,366219,776618,790400,779423
126,369405,733495,758080,788023
127,362260,722514,788692,783128
,318105,715781,758827,773172
,241523,729583,789230,787776
,245657,603807,761963,788712
,246528,456257,791161,759002
,249830,243763,672646,776726
,248639,39401,645336,758638
,123511,0,640122,708505
,125633,0,574166,523418
,121940,0,569132,389349
,123164,0,438814,332659
,117987,0,85824,302979
,116231,0,91602,183013
,120811,0,114607,0
,120897,0,38980,0
,115789,0,0,0
,125814,0,0,0
,127471,0,0,0
,126074,0,440683,631689
,129253,0,794256,787490
,126672,0,739998,771821
,129492,0,783046,793465
,64331,0,757351,795212
,,0,756143,791938
,,0,759187,748134
,,0,787042,791619
,,0,781471,776784
,,0,763623,794201
,,0,789723,788791
,,0,780476,787732
,,0,789168,774309
,,0,785055,788389
,,0,784961,791162
,,0,726413,712956
,,0,675019,567059
,,0,599558,554217
,,0,395070,557539
,,0,314637,354438
,,180445,179753,319175
,,788947,210726,228302
,,793671,240493,93578
,,753388,166022,0
,,762034,121302,0
,,789403,78824,0
,,774194,0,0
,,793952,0,551501
,,691289,0,796795
,,782645,241380,787625
,,754508,781131,796837
,,777777,747777,621977
,,787188,779975,445265
,,776666,723679,
,,779421,487243,
,,770064,200940,
,,712020,37875,
,,644660,,
,,591314,,
,,471924,,
,,277445,,
,,236742,,
,,126604,,
,,125044,,
,,58655,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,262774,,
,,775757,,
,,730698,,
,,779299,,
,,770316,,
,,777065,,
,,786374,,
,,756800,,
,,765048,,
,,781862,,
,,703125,,
,,783536,,
,,759586,,
,,783367,,
,,784062,,
,,759458,,
,,718574,,
,,596913,,
,,463178,,
,,362822,,
,,277982,,
,,246574,,
,,245876,,
,,156198,,
,,126017,,
,,46739,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,517407,,
,,798010,,
,,795361,,
,,792454,,
,,795306,,
,,789590,,
,,775527,,
,,786149,,
,,792519,,
,,787853,,
,,785801,,
,,754211,,
,,776924,,
,,753996,,
,,730865,,
,,753078,,
,,723085,,
,,581487,,
,,487088,,
,,324292,,
,,181585,,
,,120282,,
,,121471,,
,,121459,,
,,126159,,
,,28041,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,769604,,
,,797609,,
,,797848,,
,,759706,,
,,600082,,
,,195639,,
,,79512,,
