time,0-ckp,1-ckp,8-ckp,8-ckp-metis
0,39289,37991,36271,37349
1,37041,38133,37238,36819
2,38438,38436,37472,38187
3,38433,38599,34224,34300
4,38841,34630,35876,39066
5,39139,38631,39321,35433
6,41921,39929,41026,39791
7,41670,40863,39880,35965
8,39841,40783,38846,39080
9,38689,39085,38708,34815
10,39416,40804,40068,38664
11,40268,37675,40703,35746
12,40863,37342,37599,38347
13,41344,38995,39278,39204
14,41939,38696,39078,36187
15,41385,35922,40859,42404
16,41464,37495,40374,41571
17,40395,41126,39592,38002
18,41142,39026,41303,41913
19,41684,35994,41212,41109
20,41260,40317,40587,40871
21,39572,29528,20485,35177
22,40775,0,0,0
23,41506,0,37941,47813
24,38855,0,41167,87041
25,36475,0,41798,85392
26,36753,0,41632,85205
27,36505,0,41518,85975
28,38785,0,41338,85809
29,41036,0,41617,84630
30,40541,2866,41325,84146
31,40981,39212,41632,84395
32,40753,41066,40527,83908
33,38154,41429,41380,25686
34,41334,41134,41672,0
35,41499,40495,41500,78109
36,41361,40863,40762,96058
37,41527,39725,41618,96847
38,41361,39770,41715,92916
39,41189,38530,41247,93529
40,41197,40382,40966,93137
41,40640,39032,41508,92386
42,39409,39545,41510,94013
43,40664,39744,15627,92958
44,39159,40504,1517,10047
45,41568,40386,41479,25076
46,39750,41672,41554,105646
47,40917,41680,41478,101812
48,41196,39249,41436,101333
49,41173,39002,41370,103874
50,40861,40049,41433,102511
51,40602,33665,41614,101913
52,41710,0,41228,97103
53,40661,0,41637,100732
54,38834,0,41662,0
55,37915,0,41575,40776
56,40411,0,41630,110048
57,40401,0,41622,109482
58,40984,0,41644,109973
59,40034,0,41332,107652
60,41097,7616,41272,108153
61,41243,40345,41183,107111
62,41245,38579,41206,106459
63,40618,41236,41454,40346
64,38314,39122,41521,0
65,38090,40637,9153,122407
66,40600,41511,9237,130944
67,40094,40958,41377,151390
68,40189,40802,41120,108089
69,40594,40631,41136,103115
70,39858,41414,41476,102188
71,39788,40563,41485,99503
72,41094,38016,41607,22364
73,38964,41284,41306,0
74,40873,40678,41487,121408
75,41857,41295,41814,118600
76,41323,40896,41841,118846
77,41219,39688,41136,117216
78,39418,40361,40759,116535
79,40851,37967,41301,116788
80,41067,38919,41175,115775
81,38539,27482,41427,14832
82,39792,0,41412,26207
83,39018,0,41082,93793
84,39973,0,40996,
85,39188,0,41276,
86,40333,0,41685,
87,39874,0,3865,
88,38572,0,4884,
89,41039,0,40965,
90,40312,12486,41858,
91,41201,41068,41284,
92,38815,39508,41732,
93,39944,40749,41797,
94,40450,40552,42022,
95,39002,41202,41301,
96,40380,40248,41174,
97,40824,40669,41639,
98,39346,40880,41873,
99,40928,40695,41125,
100,40077,40778,41013,
101,41208,39996,41383,
102,40446,40786,41530,
103,41190,41572,41481,
104,40990,40603,41230,
105,40628,41002,40688,
106,38795,41648,41485,
107,37731,40994,41177,
108,38349,40948,41514,
109,37502,41157,6845,
110,41071,41192,9314,
111,40608,11267,41347,
112,41076,0,41544,
113,41739,0,41576,
114,41496,0,40992,
115,41285,0,41356,
116,40412,0,41868,
117,41472,0,41365,
118,39353,0,41469,
119,36854,0,41489,
120,40678,30714,41181,
121,40819,38964,41342,
122,39761,39348,41292,
123,37366,41263,41278,
124,38694,40899,41721,
125,40772,39225,41481,
126,40871,41006,41836,
127,41024,39277,41490,
128,40347,38302,41009,
129,40474,40382,39169,
130,38648,40346,41404,
131,40861,39048,4477,
132,40248,37639,13252,
133,38944,39829,40924,
134,40122,40321,41733,
135,38887,39631,41373,
136,40378,38974,41110,
137,38504,38681,41641,
138,40256,40830,41086,
139,40238,40278,40964,
140,37119,39255,41419,
141,37996,15788,41517,
142,40553,0,40560,
143,40682,0,41075,
144,41083,0,41421,
145,40369,0,41131,
146,37823,0,38482,
147,39919,0,39727,
148,38871,0,41524,
149,27975,0,41173,
150,,24281,41164,
151,,41878,40285,
152,,40905,39832,
153,,41219,8607,
154,,40282,9468,
155,,38743,41169,
156,,39987,40745,
157,,38827,28618,
158,,41075,,
159,,40865,,
160,,39418,,
161,,38584,,
162,,40448,,
163,,40621,,
164,,40716,,
165,,40365,,
166,,40299,,
167,,39850,,
168,,38243,,
169,,40443,,
170,,40077,,
171,,12874,,
172,,0,,
173,,0,,
174,,0,,
175,,0,,
176,,0,,
177,,0,,
178,,0,,
179,,0,,
180,,15442,,
181,,39112,,
182,,40448,,
183,,40625,,
184,,40300,,
185,,41192,,
186,,41249,,
187,,39333,,
188,,40429,,
189,,40876,,
190,,40714,,
191,,40551,,
192,,39983,,
193,,40476,,
194,,40595,,
195,,39850,,
196,,37476,,
197,,39645,,
198,,39712,,
199,,38487,,
200,,40473,,
201,,23032,,
202,,0,,
203,,0,,
204,,0,,
205,,0,,
206,,0,,
207,,0,,
208,,0,,
209,,0,,
210,,15076,,
211,,41311,,
212,,38429,,
213,,25184,,
